id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,infinite_supply,cmc_rank,last_updated,USD_price,USD_volume_24h,USD_%change_24h,USD_market_cap,platform
28113,Cuckadoodledoo,CUCK,1,2023-09-20T17:43:39.000Z,42000000.0,0.0,42000000,False,5028,2023-11-15T12:41:59.175Z,0.004102736381203592,1327.5,1.37539312,0.0,
24821,Sonic Inu,SONIC,2,2023-04-30T19:34:19.000Z,4.2e+17,0.0,0,False,5029,2023-11-15T12:41:59.175Z,7.6951476e-13,1325.1,1.17216253,0.0,
17498,MetaBET,MBET,2,2022-01-20T06:31:41.000Z,100000000.0,0.0,100000000,False,5030,2023-11-15T12:41:59.175Z,0.007124955797699101,1324.36,-2.71828374,0.0,
4024,Raven Protocol,RAVEN,10,2019-06-19T00:00:00.000Z,,0.0,10000000000,False,5031,2023-11-15T12:41:59.175Z,0.00041353468269854783,1323.85,-0.8793667,0.0,
24708,Shockwaves,NEUROS,1,2023-04-25T04:34:51.000Z,,0.0,100000000,False,5032,2023-11-15T12:41:59.175Z,0.007192233179730498,1321.65,-4.56939244,0.0,
10023,Planet,AQUA,12,2021-05-23T00:00:00.000Z,100000.0,0.0,99790.06960888,False,5033,2023-11-15T12:41:59.175Z,17.93867385165408,1320.22,1.64350915,0.0,
21269,Geegoopuzzle,GGP,1,2022-08-05T08:13:16.000Z,3000000000.0,0.0,3000000000,False,5034,2023-11-15T12:41:59.175Z,2.051797557356225,1313.72,104.12664487,0.0,
26607,Pepelisa,PEPELISA,2,2023-06-03T16:35:07.000Z,1000000000.0,0.0,1000000000,False,5035,2023-11-15T12:41:59.175Z,2.434106572105227e-05,1313.8,-17.18162016,0.0,
28005,SHILLD,SHILLD,1,2023-09-11T08:33:57.000Z,10000000.0,0.0,10000000,False,5036,2023-11-15T12:41:59.175Z,0.01466254217424871,1312.06,-6.17626117,0.0,
24379,Cradle of Sins,COS,1,2023-04-12T13:07:53.000Z,1000000.0,0.0,1000000,False,5037,2023-11-15T12:41:59.175Z,0.5992885882129193,1308.08,0.16264897,0.0,
23700,IceCream,ICE,25,2023-02-28T15:37:38.000Z,10000000.0,0.0,10000000,False,5038,2023-11-15T12:41:59.175Z,0.9540444289632831,1305.23,-0.00793096,0.0,
25482,Copium,COPIUM,6,2023-05-21T04:56:58.000Z,1000000000.0,0.0,1000000000,False,5039,2023-11-15T12:41:59.175Z,0.0006331907356583725,1300.84,-42.00383607,0.0,
22513,Style,STYLE,4,2022-11-02T15:30:16.000Z,100000000.0,0.0,100000000,False,5040,2023-11-15T12:41:59.175Z,0.014474903728720798,1265.85,-4.31786232,0.0,
13637,XRdoge,XRDOGE,3,2021-11-01T07:37:43.000Z,100000000000.0,0.0,0,False,5041,2023-11-15T12:41:59.175Z,9.88384196327621e-06,1298.84,-3.68150621,0.0,
13229,PaintSwap,BRUSH,57,2021-10-26T02:49:06.000Z,450000000.0,0.0,164014824,False,5042,2023-11-15T12:41:59.175Z,0.0069840359960567965,1298.61,1.34043841,0.0,
27131,Safari Crush,SFRC,2,2023-06-21T10:12:21.000Z,100000000.0,0.0,100000000,False,5043,2023-11-15T12:41:59.175Z,9.083346328195925e-05,1298.02,-6.51473468,0.0,
8657,wanUSDT,WANUSDT,5,2021-03-02T00:00:00.000Z,210000000.0,0.0,0,False,5044,2023-11-15T12:41:59.175Z,1.0044823803149552,1297.1,0.13748442,0.0,
9069,Goatcoin,GOAT,6,2021-04-01T00:00:00.000Z,999.0,0.0,0,False,5045,2023-11-15T12:41:59.175Z,11.669197182123863,1251.01,26.938203,0.0,
27693,TiUSD,TIUSD,12,2023-07-27T05:03:40.000Z,,0.0,168824,False,5046,2023-11-15T12:41:59.175Z,0.9851148594596861,1282.85,3.06853309,0.0,
20570,Icel Idman Yurdu Token,MIY,1,2022-06-13T08:16:57.000Z,0.0,0.0,1.1,False,5047,2023-11-15T12:41:59.175Z,0.07948329048331841,1282.18,-4.3263165,0.0,
26948,CopyCat DAO,CCD,1,2023-06-13T08:14:45.000Z,100000000.0,0.0,100000000,False,5048,2023-11-15T12:41:59.175Z,0.007683799195200135,1279.52,-3.34007021,0.0,
15842,Bedrock,ROCK,7,2021-12-09T07:35:35.000Z,500000000.0,0.0,500000000,False,5049,2023-11-15T12:41:59.175Z,0.0010350457800544074,1279.33,0.32628617,0.0,
12576,Geist Finance,GEIST,63,2021-10-10T09:33:56.000Z,1000000000.0,0.0,155271168,False,5050,2023-11-15T12:41:59.175Z,9.547652387620818e-05,1271.2,3.66852789,0.0,
24330,LionDEX,LION,8,2023-04-10T00:50:03.000Z,1000000000.0,0.0,100000000,False,5051,2023-11-15T12:41:59.175Z,0.002369728596512774,1270.69,-2.67102231,0.0,
23659,Nucleon,XCFX,3,2023-02-26T01:27:27.000Z,0.0,0.0,11046232.1478044,False,5052,2023-11-15T12:41:59.175Z,0.16269234118703724,1268.99,-0.60049618,0.0,
18998,Banana,BANANA,2,2022-03-23T07:12:16.000Z,,0.0,4347932,False,5053,2023-11-15T12:41:59.175Z,0.12115776608369463,1262.19,-3.22222604,0.0,
19556,Apple,AMB,2,2022-04-15T05:02:13.000Z,15000000.0,0.0,9891181,False,5054,2023-11-15T12:41:59.175Z,0.05458329017001451,1259.96,1.84270024,0.0,
23273,Sketch Coin,SKET,1,2023-01-18T14:43:29.000Z,100000000000.0,0.0,100000000000,False,5055,2023-11-15T12:41:59.175Z,0.0006782636488968894,1253.01,-6.84666382,0.0,
27769,Kento,KNTO,1,2023-08-07T19:02:13.000Z,471959000000000.0,0.0,471959000000000,False,5056,2023-11-15T12:41:59.175Z,1.125594907e-10,1247.86,16.29806337,0.0,
22385,Bluelight,KALE,1,2022-10-25T06:34:56.000Z,10000000000.0,0.0,10000000000,False,5057,2023-11-15T12:41:59.175Z,0.000999238415487696,1223.06,-0.17682497,0.0,
21814,Ookeenga,OKG,3,2022-09-14T10:37:49.000Z,500000000.0,0.0,500000000,False,5058,2023-11-15T12:41:59.175Z,0.0013448325407160158,1245.29,0.23190437,0.0,
19417,Metasphere,MTSP,2,2022-04-09T20:37:26.000Z,,0.0,0,False,5059,2023-11-15T12:41:59.175Z,16.43848983044038,1242.32,0.02263049,0.0,
